ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,1551.5972495088408,24.252128356254094,0,1
1,2,456.4303104077906,42.16798539257456,0,2
1,3,486.097779436462,72.58201156932263,0,3
1,4,1798.4323802163833,157.98686244204018,0,4
1,5,1764.3858456617354,208.4986005597761,0,5
1,6,970.1416377700721,216.825820218725,0,6
1,7,727.8141074611663,212.22740005092948,0,7
1,8,1444.561059907834,278.10109447004606,0,8
1,9,1774.8319009969061,290.60226882090063,0,9
1,10,1012.307596513076,285.7873599003736,0,10
1,11,1092.4854614412136,297.33122629582806,0,11
1,12,1072.0282594733462,321.1682723185613,0,12
1,13,1123.8308232931727,303.1902610441767,0,13
1,14,1040.4410669975186,326.61910669975185,0,14
1,15,1395.1267716535433,324.34094488188975,0,15
1,16,44.68784099766173,322.59236165237724,0,16
1,17,1148.6676120249574,325.75099262620535,0,17
1,18,1104.4396551724137,339.34655172413795,0,18
1,19,368.96435776731676,333.7162071284465,0,19
1,20,1186.1329787234042,346.2388781431335,0,20
1,21,1571.6056074766354,364.2517133956386,0,21
1,22,1078.3400576368877,371.2557636887608,0,22
1,23,1619.4765404183154,377.0587902769926,0,23
1,24,1484.9660872043316,370.9886007409518,0,24
1,25,1659.6457843904986,396.6369094231271,0,25
1,26,1906.6105042016807,397.7651260504202,0,26
1,27,1602.3864734299516,412.7169082125604,0,27
1,28,1703.6427419354839,400.61895161290323,0,28
1,29,1644.1482843137255,437.49816176470586,0,29
1,30,660.8162574089754,443.7438611346317,0,30
1,31,1331.0715429791778,488.5686065136145,0,31
1,32,1304.952836201402,502.0834926704908,0,32
1,33,1265.8531546621998,519.4433277498604,0,33
1,34,1297.2251256281406,527.3085427135678,0,34
1,35,1178.662855162855,526.6205821205821,0,35
1,36,1225.400986342944,534.7416540212444,0,36
1,37,1334.4207594936709,552.6744303797468,0,37
1,38,986.2851428571429,585.4717142857143,0,38
1,39,1870.1759980525803,594.4432814021421,0,39
1,40,1462.4337944664032,643.7470355731225,0,40
1,41,998.3114922813036,646.893653516295,0,41
1,42,1309.6821987622861,645.5329450309429,0,42
1,43,641.3556618819777,668.9298245614035,0,43
1,44,1236.6347527865105,665.5858816804802,0,44
1,45,1256.0810229959166,713.502041693531,0,45
1,46,1878.8617363344051,691.3311897106109,0,46
1,47,1870.7382953181273,746.609443777511,0,47
1,48,1924.003956478734,743.0448400923178,0,48
1,49,1831.476129032258,755.0210752688172,0,49
1,50,1968.9977807367954,765.306702174878,0,50
1,51,1888.4001233045622,785.0745992601726,0,51
1,52,1922.188484519283,797.2797392721347,0,52
1,53,532.280685644322,786.0483624119988,0,53
1,54,1060.539960463146,800.1776334368823,0,54
1,55,561.2137526652452,813.3224946695096,0,55
1,56,143.1070317361543,832.6241443683883,0,56
1,57,635.0760749724366,843.6463065049614,0,57
1,58,1514.0778369520688,874.3453502662843,0,58
1,59,1306.054006968641,909.0479094076655,0,59
1,60,800.7020222864218,922.9001238134543,0,60
1,61,1199.9577879581152,930.4090314136125,0,61
1,62,1299.6747062461347,937.3902288188002,0,62
1,63,870.390187811422,951.7274817937907,0,63
1,64,1293.7374476987447,971.005230125523,0,64
1,65,1463.280792826805,1018.4016045304389,0,65
1,66,1428.6970884658454,1024.2435610302352,0,66
1,67,790.1433962264151,1123.772641509434,0,67
1,68,618.8684057971014,1142.9176811594202,0,68
1,69,704.2828833292049,1151.055982164974,0,69
1,70,635.8757503001201,1164.8643457382952,0,70
1,71,1925.7705091937764,1173.4975247524753,0,71
1,72,772.6138952164009,1180.765945330296,0,72
1,73,757.9652056032535,1215.6064166290105,0,73
1,74,268.8825,1244.8857142857144,0,74
1,75,771.2841800908716,1270.1924824452706,0,75
1,76,960.2984640929847,1277.7787463677876,0,76
1,77,676.6593886462882,1285.3749220212103,0,77
1,78,788.8137398971345,1308.261572373255,0,78
1,79,1145.4020066889632,1312.0615384615385,0,79
1,80,1198.5697249471052,1307.4416233891134,0,80
1,81,705.2285422343324,1321.0977520435968,0,81
1,82,635.7034358047016,1332.5537070524413,0,82
1,83,345.77857915614857,1323.7659574468084,0,83
1,84,313.05405405405406,1342.9919919919919,0,84
1,85,1701.4986213235295,1385.008731617647,0,85
1,86,401.18501872659175,1382.1043695380774,0,86
1,87,1661.6687898089172,1392.2502274795268,0,87
1,88,319.4950226244344,1455.6013574660633,0,88
1,89,195.42796352583588,1460.0550151975683,0,89
1,90,911.9315774405954,1470.2198683080446,0,90
1,91,1538.8509018036073,1504.4937875751502,0,91
1,92,332.6609795262947,1505.7731834604576,0,92
1,93,686.7367965367965,1534.6337662337662,0,93
1,94,518.8798061389338,1532.703069466882,0,94
1,95,258.0356703567036,1614.528495284953,0,95
1,96,340.8192281651997,1598.5152335815842,0,96
1,97,326.4347468093866,1636.5656648826678,0,97
1,98,922.0650829808005,1654.7865278229742,0,98
1,99,1426.1106220095694,1745.2128229665072,0,99
1,100,956.0794776119403,1780.8272388059702,0,100
1,101,1427.3649870801034,1812.635443583118,0,101
1,102,1208.3888384754991,1804.3033121597095,0,102
1,103,1332.860914105595,1863.4602048857369,0,103
2,1,1551.6519154557463,24.11558784676354,0,1
2,2,1600.713551701991,33.2903018625562,0,2
2,3,456.27524038461536,42.12139423076923,0,3
2,4,486.0759328358209,72.53227611940298,0,4
2,5,1555.9387907439661,66.46130878327942,0,5
2,6,1627.9977034120734,67.38517060367454,0,6
2,7,1759.1780660377358,113.0125786163522,0,7
2,8,1698.9853870458137,129.96563981042655,0,8
2,9,1798.4498456790122,157.83873456790124,0,9
