ImageNumber,ObjectNumber,Intensity_MeanIntensity_BGS_mt,Intensity_MeanIntensity_BGS_other,Number_Object_Number
1,1,0.015598721081023816,0.0024933053088937378,1
1,2,0.021264227842280874,0.00226035859199691,2
1,3,0.009644022938408233,0.002840179392721615,3
1,4,0.010357499046501083,0.0024890490570765133,4
1,5,0.02009312968366303,0.0022457077266493774,5
1,6,0.011309410107481342,0.002282174526542229,6
1,7,0.007570808275953612,0.002296284663985085,7
1,8,0.008653550420422106,0.00227290593117239,8
1,9,0.009409847823504238,0.0031345247350765574,9
1,10,0.005790408774230041,0.0022473770442060607,10
1,11,0.0054756086773741575,0.0021350934800431812,11
1,12,0.005148012350066089,0.00221852831250179,12
1,13,0.013402917476349332,0.0024742776794159493,13
1,14,0.009691892575326523,0.0024247432336763687,14
1,15,0.013886413747444275,0.0024187294893779727,15
1,16,0.006802378516091944,0.0022934239325898722,16
1,17,0.005961360023847144,0.002186039394810687,17
1,18,0.006024836836542519,0.002138035059268136,18
1,19,0.021365731411392495,0.0030305119377398897,19
1,20,0.006628361314899474,0.002407333015028199,20
1,21,0.007380252012781158,0.0023365372778548586,21
1,22,0.023979646584087355,0.0034934853447316267,22
1,23,0.005165832080162486,0.0020186604111824408,23
1,24,0.00589076749770942,0.002255864704378817,24
1,25,0.007891735104471923,0.002553487583942826,25
1,26,0.009323160041097447,0.0028510095265714534,26
1,27,0.007981875851558563,0.0023143409832095305,27
1,28,0.022239711948149787,0.0028469964992034976,28
1,29,0.022502524715638482,0.00483372500272459,29
1,30,0.008053523723154382,0.002570347785310512,30
1,31,0.007998676950930907,0.0027306509135965385,31
1,32,0.04009032178515887,0.0033517641274121122,32
1,33,0.0060919674206841865,0.002161160407613228,33
1,34,0.007100086956873997,0.002473455347511215,34
1,35,0.007016028705969595,0.0022098546637932103,35
1,36,0.005186259088567455,0.0020897519170522427,36
1,37,0.006475798592168687,0.002354744799519277,37
1,38,0.008254094900307044,0.002558728826749917,38
1,39,0.006108052148132164,0.0021673410949410296,39
1,40,0.019977413404547624,0.0032783006193535377,40
1,41,0.006370843066703235,0.0022889671775988578,41
