ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,1551.5972495088408,24.252128356254094,0,1
1,2,1600.8407928388747,33.440537084398976,0,2
1,3,486.097779436462,72.58201156932263,0,3
1,4,1555.9242084268262,66.60009972575418,0,4
1,5,1627.95,67.65657894736842,0,5
1,6,1764.3858456617354,208.4986005597761,0,6
1,7,727.8141074611663,212.22740005092948,0,7
1,8,1444.561059907834,278.10109447004606,0,8
1,9,1092.4854614412136,297.33122629582806,0,9
1,10,1395.1267716535433,324.34094488188975,0,10
1,11,44.68784099766173,322.59236165237724,0,11
1,12,368.96435776731676,333.7162071284465,0,12
1,13,1619.4765404183154,377.0587902769926,0,13
1,14,1484.9660872043316,370.9886007409518,0,14
1,15,1659.6457843904986,396.6369094231271,0,15
1,16,1644.1482843137255,437.49816176470586,0,16
1,17,660.8162574089754,443.7438611346317,0,17
1,18,1331.0715429791778,488.5686065136145,0,18
1,19,1304.952836201402,502.0834926704908,0,19
1,20,1297.2251256281406,527.3085427135678,0,20
1,21,1178.662855162855,526.6205821205821,0,21
1,22,1334.4207594936709,552.6744303797468,0,22
1,23,986.2851428571429,585.4717142857143,0,23
1,24,1462.4337944664032,643.7470355731225,0,24
1,25,998.3114922813036,646.893653516295,0,25
1,26,641.3556618819777,668.9298245614035,0,26
1,27,1878.8617363344051,691.3311897106109,0,27
1,28,1870.7382953181273,746.609443777511,0,28
1,29,1924.003956478734,743.0448400923178,0,29
1,30,1968.9977807367954,765.306702174878,0,30
1,31,1888.4001233045622,785.0745992601726,0,31
1,32,532.280685644322,786.0483624119988,0,32
1,33,143.1070317361543,832.6241443683883,0,33
1,34,635.0760749724366,843.6463065049614,0,34
1,35,600.051305130513,862.7065706570658,0,35
1,36,1306.054006968641,909.0479094076655,0,36
1,37,1199.9577879581152,930.4090314136125,0,37
1,38,1299.6747062461347,937.3902288188002,0,38
1,39,1293.7374476987447,971.005230125523,0,39
1,40,1463.280792826805,1018.4016045304389,0,40
1,41,608.262599469496,1111.7018567639257,0,41
1,42,790.1433962264151,1123.772641509434,0,42
1,43,772.6138952164009,1180.765945330296,0,43
1,44,905.3134424125763,1196.1395572666024,0,44
1,45,757.9652056032535,1215.6064166290105,0,45
1,46,268.8825,1244.8857142857144,0,46
1,47,771.2841800908716,1270.1924824452706,0,47
1,48,788.8137398971345,1308.261572373255,0,48
1,49,1198.5697249471052,1307.4416233891134,0,49
1,50,83.84494293585203,1366.5533254624163,0,50
